sigla,seccion,nombre,codigo_completo
FIN100-14,01,DESARROLLO INTEGRAL Y COMUNICACION PARA INGENIERIA,FIN100-14-01
FIN100-14,02,DESARROLLO INTEGRAL Y COMUNICACION PARA INGENIERIA,FIN100-14-02
FIN100-14,03,DESARROLLO INTEGRAL Y COMUNICACION PARA INGENIERIA,FIN100-14-03
FIN100-14,04,DESARROLLO INTEGRAL Y COMUNICACION PARA INGENIERIA,FIN100-14-04
FIN100-14,05,DESARROLLO INTEGRAL Y COMUNICACION PARA INGENIERIA,FIN100-14-05
FIN100-14,06,DESARROLLO INTEGRAL Y COMUNICACION PARA INGENIERIA,FIN100-14-06
FIN100-14,07,DESARROLLO INTEGRAL Y COMUNICACION PARA INGENIERIA,FIN100-14-07
FIS1002-XX,01,FISICA PARA INGENIERIA,FIS1002-XX
ICA4161,02,ECONOMIA Y FINANZAS,ICA4161-02
INF1211,01,FUNDAMENTOS DE ALGORITMOS,INF1211-01
INF1211,02,FUNDAMENTOS DE ALGORITMOS,INF1211-02
INF1211,03,FUNDAMENTOS DE ALGORITMOS,INF1211-03
INF1214,01,FUNDAMENTOS DE PROGRAMACION,INF1214-01
INF1214,02,FUNDAMENTOS DE PROGRAMACION,INF1214-02
INF2223,01,ESTRUCTURA DE DATOS,INF2223-01
INF2235,01,BASE DE DATOS,INF2235-01
INF2235,02,BASE DE DATOS,INF2235-02
INF2236,01,PROGRAMACION AVANZADA,INF2236-01
INF2236,02,PROGRAMACION AVANZADA,INF2236-02
INF2237,01,INGENIERIA DE SOFTWARE,INF2237-01
INF2324,01,REDES DE COMPUTADORES,INF2324-01
INF2324,02,REDES DE COMPUTADORES,INF2324-02
INF3136,01,OPTIMIZACION,INF3136-01
INF3136,02,OPTIMIZACION,INF3136-02
INF3136,03,OPTIMIZACION,INF3136-03
INF3241,01,INGENIERIA DE SOFTWARE,INF3241-01
INF3245,01,INGENIERIA WEB Y MOVIL,INF3245-01
INF3246,01,EXPERIENCIA DEL USUARIO,INF3246-01
INF3540,01,TALLER DE BASE DE DATOS,INF3540-01
INF3541,01,TALLER DE BASE DE DATOS,INF3541-01
INF4458,01,"NEGOCIOS, INNOVACION Y EMPRENDIMIENTO",INF4458-01
INF4459,01,"LEGISLACION, ETICA Y TECNOLOGIA",INF4459-01
MAT1001-XX,01,FUNDAMENTOS DE MATEMATICAS PARA INGENIERIA,MAT1001-XX
MAT1002-XX,01,CALCULO DIFERENCIAL E INTEGRAL,MAT1002-XX
MAT1003-XX,01,CALCULO EN VARIAS VARIABLES,MAT1003-XX
MAT1004-XX,01,ALGEBRA LINEAL,MAT1004-XX
